trade_index,timestamp,bucket_start_trade,bucket_abs_volume,bucket_net_volume,order_imbalance,bucket_number,vpin_daily,vpin_5day,vpin_7day
52330,2025-06-08 18:06:00,50472,1.8106137177126609e-06,-4.369599500474661e-07,0.24133250829419065,1858,0.20072467282314593,0.2397561804749196,0.2520910995752813
52417,2025-06-08 19:42:00,50558,1.8106137177126609e-06,5.43597105635656e-07,0.30022809410854323,1859,0.2010581467419131,0.24012518371832509,0.2525387640325559
52536,2025-06-08 21:52:00,50676,1.8106137177126609e-06,3.374291603213187e-07,0.1863617606673119,1860,0.1948945511629338,0.24083215469902655,0.25246619127798947
52559,2025-06-08 22:15:00,50698,1.8106137177126609e-06,-9.623037264540953e-07,0.5314793083915043,1861,0.19788216994617908,0.24084966156890705,0.25272091291252363
52591,2025-06-08 22:48:00,50729,1.8106137177126609e-06,-6.286854487608966e-07,0.3472222940822031,1862,0.20262912356311374,0.24202932946279998,0.2524371134133825
52623,2025-06-08 23:24:00,50760,1.8106137177126609e-06,1.119526843459922e-07,0.06183134660407934,1863,0.20377556775993605,0.24220196945768954,0.2516570215184558
52685,2025-06-09 00:29:00,50821,1.8106137177126609e-06,-1.0965067681028463e-08,0.00605599503293313,1864,0.20329672019778613,0.24090309152054828,0.25126341097697547
52741,2025-06-09 01:29:00,50876,1.8106137177126609e-06,-1.7609092413017605e-07,0.0972548271381876,1865,0.20463151030288312,0.23960280659202848,0.2508024016046115
52817,2025-06-09 02:58:00,50951,1.8106137177126609e-06,-4.1037728940162794e-07,0.22665093354095178,1866,0.20313243699804076,0.24036189319743675,0.25133384126114705
52922,2025-06-09 05:07:00,51055,1.8106137177126609e-06,-4.4348264969020535e-07,0.24493498825937027,1867,0.20348946544673432,0.24042475536905036,0.2519239521009779
53009,2025-06-09 06:48:00,51141,1.8106137177126609e-06,2.0224633348816022e-07,0.11170043146677193,1868,0.2006811933705952,0.24016142929938838,0.2518320345379838
53074,2025-06-09 08:02:00,51205,1.8106137177126609e-06,-5.679663698715515e-07,0.3136872124160533,1869,0.20626658450589716,0.24113813805587006,0.25148386780262955
53153,2025-06-09 09:37:00,51283,1.8106137177126609e-06,4.019675884555015e-07,0.2220062647947377,1870,0.20347242424350762,0.24185959492340675,0.2516555217767385
53187,2025-06-09 10:13:00,51316,1.8106137177126609e-06,5.946866255389298e-07,0.3284447807510231,1871,0.20311332998663326,0.24271555309336265,0.25254476753605914
53208,2025-06-09 10:34:00,51336,1.8106137177126609e-06,9.24185757412452e-07,0.5104267952746824,1872,0.21290806460283393,0.24457848866892817,0.2527866815032817
53259,2025-06-09 11:27:00,51386,1.8106137177126609e-06,1.8945343296418705e-07,0.10463492632957769,1873,0.21313930268326875,0.24486769539488115,0.25247542851747923
53313,2025-06-09 12:23:00,51439,1.8106137177126609e-06,-6.484343993982255e-08,0.03581296181812813,1874,0.20882699334881866,0.24412550828086813,0.25179347173776356
53360,2025-06-09 13:12:00,51485,1.8106137177126609e-06,-3.825498485989987e-09,0.002112818680520503,1875,0.19585086628555456,0.243479950549772,0.2509350182874197
53394,2025-06-09 13:49:00,51518,1.8106137177126609e-06,-6.449190232991721e-07,0.35618807975999156,1876,0.1971366568575527,0.24315039170663885,0.2518005298008635
53415,2025-06-09 14:12:00,51538,1.8106137177126609e-06,-1.8917912089089092e-07,0.10448342406787901,1877,0.18961795234552503,0.24235851920403179,0.2507792409784169
53450,2025-06-09 14:48:00,51572,1.8106137177126609e-06,4.4979767976115944e-07,0.24842277254443126,1878,0.19260520041590087,0.2426247561970681,0.2510588985295253
53495,2025-06-09 15:41:00,51616,1.8106137177126609e-06,3.3287242772229803e-08,0.018384508217623254,1879,0.19172333074454145,0.24252513544351223,0.24979547871855548
53528,2025-06-09 16:18:00,51648,1.8106137177126609e-06,6.356439325584043e-07,0.3510654571652147,1880,0.19800691581146598,0.24391832120515652,0.2507295232232272
53542,2025-06-09 16:32:00,51661,1.8106137177126609e-06,9.343630729420779e-07,0.5160477156455293,1881,0.2037873026945302,0.24472547232896602,0.2507548083091413
53579,2025-06-09 17:09:00,51697,1.8106137177126609e-06,-8.849509214968019e-08,0.048875743779007476,1882,0.19919315027315018,0.24372220578055384,0.24965987212906665
53616,2025-06-09 17:47:00,51733,1.8106137177126609e-06,2.5037778179792197e-07,0.13828337836422833,1883,0.1982558861229966,0.24392376146816194,0.2497964125478833
